Ticker,Date,Open,High,Low,Close,Adj Close,Volume
NFLX,2023-02-24, 319.30 , 321.50 , 314.52 , 317.15 , 317.15 ," 6,830,700.00 "
NFLX,2023-02-27, 323.87 , 330.00 , 322.12 , 323.03 , 323.03 ," 6,142,600.00 "
NFLX,2023-02-28, 323.70 , 327.62 , 321.17 , 322.13 , 322.13 ," 3,676,100.00 "
NFLX,2023-03-01, 321.55 , 326.60 , 312.36 , 313.48 , 313.48 ," 4,911,300.00 "
NFLX,2023-03-02, 310.96 , 315.57 , 310.38 , 311.88 , 311.88 ," 4,911,000.00 "
NFLX,2023-03-03, 315.45 , 317.49 , 310.82 , 315.18 , 315.18 ," 5,953,300.00 "
NFLX,2023-03-06, 317.00 , 323.30 , 311.84 , 312.03 , 312.03 ," 5,660,700.00 "
NFLX,2023-03-07, 312.68 , 314.30 , 306.62 , 308.47 , 308.47 ," 4,553,100.00 "
NFLX,2023-03-08, 309.29 , 311.83 , 305.75 , 311.79 , 311.79 ," 3,479,500.00 "
NFLX,2023-03-09, 312.08 , 312.51 , 294.88 , 297.78 , 297.78 ," 7,443,400.00 "
NFLX,2023-03-10, 297.90 , 298.79 , 289.00 , 292.76 , 292.76 ," 5,759,300.00 "
NFLX,2023-03-13, 287.34 , 299.24 , 285.33 , 293.51 , 293.51 ," 6,292,400.00 "
NFLX,2023-03-14, 295.97 , 297.45 , 290.31 , 294.94 , 294.94 ," 5,956,700.00 "
NFLX,2023-03-15, 292.51 , 306.31 , 292.28 , 303.79 , 303.79 ," 9,215,300.00 "
NFLX,2023-03-16, 304.75 , 316.60 , 301.71 , 310.06 , 310.06 ," 7,903,700.00 "
NFLX,2023-03-17, 310.06 , 310.76 , 300.00 , 303.50 , 303.50 ," 6,918,800.00 "
NFLX,2023-03-20, 299.79 , 307.50 , 296.00 , 305.13 , 305.13 ," 5,113,400.00 "
NFLX,2023-03-21, 306.32 , 307.92 , 300.43 , 305.79 , 305.79 ," 4,886,300.00 "
NFLX,2023-03-22, 306.31 , 306.45 , 293.54 , 293.90 , 293.90 ," 5,808,000.00 "
NFLX,2023-03-23, 304.68 , 322.78 , 304.14 , 320.37 , 320.37 ," 15,653,300.00 "
NFLX,2023-03-24, 320.63 , 331.83 , 320.63 , 328.39 , 328.39 ," 12,991,700.00 "
NFLX,2023-03-27, 327.55 , 336.44 , 324.41 , 327.66 , 327.66 ," 8,625,800.00 "
NFLX,2023-03-28, 326.06 , 333.32 , 321.28 , 323.52 , 323.52 ," 6,489,400.00 "
NFLX,2023-03-29, 326.29 , 332.85 , 325.73 , 332.03 , 332.03 ," 6,287,300.00 "
NFLX,2023-03-30, 340.27 , 343.29 , 335.30 , 338.43 , 338.43 ," 7,131,500.00 "
NFLX,2023-03-31, 340.05 , 345.84 , 337.20 , 345.48 , 345.48 ," 5,610,200.00 "
NFLX,2023-04-03, 341.83 , 348.58 , 340.40 , 348.28 , 348.28 ," 4,413,700.00 "
NFLX,2023-04-04, 348.49 , 349.80 , 343.95 , 346.75 , 346.75 ," 3,298,100.00 "
NFLX,2023-04-05, 345.30 , 345.43 , 336.25 , 342.35 , 342.35 ," 4,205,500.00 "
NFLX,2023-04-06, 339.34 , 340.48 , 332.63 , 339.33 , 339.33 ," 4,660,500.00 "
NFLX,2023-04-10, 335.27 , 339.88 , 333.36 , 338.99 , 338.99 ," 2,657,900.00 "
NFLX,2023-04-11, 343.45 , 347.14 , 337.64 , 338.21 , 338.21 ," 4,044,800.00 "
NFLX,2023-04-12, 340.81 , 342.80 , 330.04 , 331.03 , 331.03 ," 3,965,400.00 "
NFLX,2023-04-13, 339.99 , 346.43 , 338.75 , 346.19 , 346.19 ," 7,406,400.00 "
NFLX,2023-04-14, 342.94 , 344.85 , 336.41 , 338.63 , 338.63 ," 5,350,500.00 "
NFLX,2023-04-17, 338.00 , 338.39 , 327.50 , 332.72 , 332.72 ," 6,136,000.00 "
NFLX,2023-04-18, 335.00 , 337.19 , 330.50 , 333.70 , 333.70 ," 17,944,500.00 "
NFLX,2023-04-19, 324.21 , 325.75 , 316.10 , 323.12 , 323.12 ," 22,128,300.00 "
NFLX,2023-04-20, 320.39 , 331.43 , 318.33 , 325.35 , 325.35 ," 9,947,800.00 "
NFLX,2023-04-21, 323.00 , 328.29 , 319.50 , 327.98 , 327.98 ," 6,348,000.00 "
NFLX,2023-04-24, 330.20 , 334.66 , 326.75 , 329.02 , 329.02 ," 5,586,600.00 "
NFLX,2023-04-25, 328.50 , 328.66 , 321.10 , 322.55 , 322.55 ," 5,426,600.00 "
NFLX,2023-04-26, 321.36 , 325.90 , 320.47 , 321.15 , 321.15 ," 4,623,200.00 "
NFLX,2023-04-27, 324.30 , 327.45 , 317.44 , 325.85 , 325.85 ," 5,618,800.00 "
NFLX,2023-04-28, 325.24 , 330.81 , 324.00 , 329.93 , 329.93 ," 4,221,900.00 "
NFLX,2023-05-01, 329.44 , 331.23 , 318.09 , 324.12 , 324.12 ," 5,341,500.00 "
NFLX,2023-05-02, 325.00 , 326.07 , 315.62 , 317.55 , 317.55 ," 4,318,600.00 "
NFLX,2023-05-03, 317.55 , 324.62 , 315.85 , 319.30 , 319.30 ," 5,064,100.00 "
NFLX,2023-05-04, 319.01 , 323.61 , 317.95 , 320.78 , 320.78 ," 3,879,700.00 "
NFLX,2023-05-05, 323.61 , 324.15 , 319.44 , 322.76 , 322.76 ," 3,988,600.00 "
GOOG,2023-02-07, 103.63 , 108.67 , 103.55 , 108.04 , 108.04 ," 33,738,800.00 "
GOOG,2023-02-08, 102.69 , 103.58 , 98.46 , 100.00 , 100.00 ," 73,546,000.00 "
GOOG,2023-02-09, 100.54 , 100.61 , 93.86 , 95.46 , 95.46 ," 97,798,600.00 "
GOOG,2023-02-10, 95.74 , 97.02 , 94.53 , 94.86 , 94.86 ," 49,325,300.00 "
GOOG,2023-02-13, 95.01 , 95.35 , 94.05 , 95.00 , 95.00 ," 43,116,600.00 "
GOOG,2023-02-14, 94.66 , 95.18 , 92.65 , 94.95 , 94.95 ," 42,513,100.00 "
GOOG,2023-02-15, 94.74 , 97.34 , 94.36 , 97.10 , 97.10 ," 36,964,500.00 "
GOOG,2023-02-16, 95.54 , 97.88 , 94.97 , 95.78 , 95.78 ," 35,642,100.00 "
GOOG,2023-02-17, 95.07 , 95.75 , 93.45 , 94.59 , 94.59 ," 31,095,100.00 "
GOOG,2023-02-21, 93.24 , 93.42 , 92.00 , 92.05 , 92.05 ," 28,367,200.00 "
GOOG,2023-02-22, 91.93 , 92.36 , 90.87 , 91.80 , 91.80 ," 29,891,100.00 "
GOOG,2023-02-23, 92.13 , 92.13 , 90.01 , 91.07 , 91.07 ," 32,423,700.00 "
GOOG,2023-02-24, 89.63 , 90.13 , 88.86 , 89.35 , 89.35 ," 31,295,600.00 "
GOOG,2023-02-27, 90.09 , 90.45 , 89.61 , 90.10 , 90.10 ," 22,724,300.00 "
GOOG,2023-02-28, 89.54 , 91.45 , 89.52 , 90.30 , 90.30 ," 30,546,900.00 "
GOOG,2023-03-01, 90.16 , 91.20 , 89.85 , 90.51 , 90.51 ," 26,323,900.00 "
